No,商品名,サブ,色番,カテゴリID,カテゴリ名,色カテゴリ
1,ネイルホリック,Classic,WT005,1015,Classic color,白/黒
2,ネイルホリック,Nude,WT006,1017,Nude color,白/黒
3,ネイルホリック,Classic,GY007,1015,Classic color,グレー
4,ネイルホリック,Mode,GY008,1016,Mode color,グレー
5,ネイルホリック,Mode,GY009,1016,Mode color,グレー
6,ネイルホリック,Mode,BK010,1016,Mode color,白/黒
7,ネイルホリック,Top coat,SP011,9000,Top coat,
8,ネイルホリック,Top coat,SP012,9000,Top coat,
9,ネイルホリック,Chic,WT013,1005,Chic color,白/黒
10,ネイルホリック,Chic,GY014,1005,Chic color,グレー
11,ネイルホリック,Chic,WT015,1005,Chic color,白/黒
12,ネイルホリック,"Dusty
Pastel",GY016,1006,Dusty pastel color,グレー
13,ネイルホリック,"Dusty
Pastel",GY017,1006,Dusty pastel color,グレー
14,ネイルホリック,"Dusty
Pastel",GY018,1006,Dusty pastel color,グレー
15,ネイルホリック,"Dusty
Pastel",GY019,1006,Dusty pastel color,グレー
16,ネイルホリック,Galactic,GD028,1004,Galactic color,金/銀
17,ネイルホリック,Galactic,SV029,1004,Galactic color,金/銀
18,ネイルホリック,Relaxing,GY040,1008,Relaxing color,グレー
19,ネイルホリック,Top coat,SP041,9000,Top coat,
20,ネイルホリック,Top coat,SP042,9000,Top coat,
21,ネイルホリック,Top coat,SP043,9000,Top coat,
22,ネイルホリック,Relaxing,WT044,1008,Relaxing color,白/黒
23,ネイルホリック,Vivid,PU103,1014,Vivid color,紫
24,ネイルホリック,Mode,PU104,1016,Mode color,紫
25,ネイルホリック,Mode,PU105,1016,Mode color,紫
26,ネイルホリック,Mode,PU106,1016,Mode color,紫
27,ネイルホリック,Juicy,PU107,1012,Juicy color,紫
28,ネイルホリック,Juicy,PU108,1012,Juicy color,紫
29,ネイルホリック,"Sheer
Pearl",PU109,1011,Sheer pearl color,紫
30,ネイルホリック,Ethnic,PU110,1007,Ethnic color,紫
31,ネイルホリック,Chic,PU111,1005,Chic color,紫
32,ネイルホリック,Chic,PU112,1005,Chic color,紫
33,ネイルホリック,"Dusty
Pastel",PU113,1006,Dusty pastel color,紫
34,ネイルホリック,"Dusty
Pastel",PU114,1006,Dusty pastel color,紫
35,ネイルホリック,Milky,PU115,1003,Milky color,紫
36,ネイルホリック,Galactic,PU116,1004,Galactic color,紫
37,ネイルホリック,Vivid,OR200,1014,Vivid color,オレンジ
38,ネイルホリック,Vivid,OR201,1014,Vivid color,オレンジ
39,ネイルホリック,Vivid,OR202,1014,Vivid color,オレンジ
40,ネイルホリック,Juicy,OR204,1012,Juicy color,オレンジ
41,ネイルホリック,Juicy,OR205,1012,Juicy color,オレンジ
42,ネイルホリック,"Sheer
Pearl",OR206,1011,Sheer pearl color,オレンジ
