No,商品名,サブ,色番,爪サンプル,質感,塗った回数,発注コード,商品符号,"チップ
画像","商品
画像",税抜価格,発売年月,ＪＡＮコード,MaisonKOSE,Amazon,楽天,ロハコ,＠コスメ,流通EC,,,,,,,,,,,,,,,
1,ネイルホリック,Classic,WT005,,,2,44513,DLMI005,,●,¥300,2015/02,4971710445138,https://maison.kose.co.jp/site/nailholic/g/gDLMI005/,,,,,,,,,,,,,,,,,,,,
2,ネイルホリック,Nude,WT006,,,2,44514,DLMI006,,●,¥300,2015/02,4971710445145,https://maison.kose.co.jp/site/nailholic/g/gDLMI006/,,,,,,,,,,,,,,,,,,,,
3,ネイルホリック,Classic,GY007,,,2,44528,DLMI007,,●,¥300,2015/02,4971710445282,https://maison.kose.co.jp/site/nailholic/g/gDLMI005/,,,,,,,,,,,,,,,,,,,,
4,ネイルホリック,Mode,GY008,,,2,44532,DLMI008,,●,¥300,2015/02,4971710445329,https://maison.kose.co.jp/site/nailholic/g/gDLMI305/,,,,,,,,,,,,,,,,,,,,
5,ネイルホリック,Mode,GY009,,,2,44533,DLMI009,,●,¥300,2015/02,4971710445336,https://maison.kose.co.jp/site/nailholic/g/gDLMI305/,,,,,,,,,,,,,,,,,,,,
6,ネイルホリック,Mode,BK010,,,2,44534,DLMI010,,●,¥300,2015/02,4971710445343,https://maison.kose.co.jp/site/nailholic/g/gDLMI305/,,,,,,,,,,,,,,,,,,,,
7,ネイルホリック,,SP011,,マット,2,44542,DLMI011,,●,¥300,2015/02,4971710445428,https://maison.kose.co.jp/site/nailholic/g/gDLMI011/,,,,,,,,,,,,,,,,,,,,
8,ネイルホリック,,SP012,,ぷっくりクリア,2,44543,DLMI012,,●,¥300,2015/02,4971710445435,https://maison.kose.co.jp/site/nailholic/g/gDLMI011/,,,,,,,,,,,,,,,,,,,,
9,ネイルホリック,Chic,WT013,,,2,47525,DLMI013,,●,¥300,2017/08,4971710475258,https://maison.kose.co.jp/site/nailholic/g/gDLMI914/,,,,,,,,,,,,,,,,,,,,
10,ネイルホリック,Chic,GY014,,,2,47526,DLMI014,,●,¥300,2017/08,4971710475265,https://maison.kose.co.jp/site/nailholic/g/gDLMI914/,,,,,,,,,,,,,,,,,,,,
11,ネイルホリック,Chic,WT015,,,2,47527,DLMI015,,●,¥300,2017/08,4971710475272,https://maison.kose.co.jp/site/nailholic/g/gDLMI914/,,,,,,,,,,,,,,,,,,,,
12,ネイルホリック,"Dusty
Pastel",GY016,,,2,47533,DLMI016,,●,¥300,2017/08,4971710475333,https://maison.kose.co.jp/site/nailholic/g/gDLMI915/,,,,,,,,,,,,,,,,,,,,
13,ネイルホリック,"Dusty
Pastel",GY017,,,2,47535,DLMI017,,●,¥300,2017/08,4971710475357,https://maison.kose.co.jp/site/nailholic/g/gDLMI915/,,,,,,,,,,,,,,,,,,,,
14,ネイルホリック,"Dusty
Pastel",GY018,,,3,47536,DLMI018,,●,¥300,2017/08,4971710475364,https://maison.kose.co.jp/site/nailholic/g/gDLMI915/,,,,,,,,,,,,,,,,,,,,
15,ネイルホリック,"Dusty
Pastel",GY019,,,2,47538,DLMI019,,●,¥300,2017/08,4971710475388,https://maison.kose.co.jp/site/nailholic/g/gDLMI915/,,,,,,,,,,,,,,,,,,,,
16,ネイルホリック,Galactic,GD028,,,2,47944,DLMI028,,●,¥300,2018/02,4971710479447,https://maison.kose.co.jp/site/nailholic/g/gDLMI028/,,,,,,,,,,,,,,,,,,,,
17,ネイルホリック,Galactic,SV029,,,2,47945,DLMI029,,●,¥300,2018/02,4971710479454,https://maison.kose.co.jp/site/nailholic/g/gDLMI028/,,,,,,,,,,,,,,,,,,,,
18,ネイルホリック,Relaxing,GY040,,,2,47544,DLMI040,,●,¥300,2017/08,4971710475449,https://maison.kose.co.jp/site/nailholic/g/gDLMI317/,,,,,,,,,,,,,,,,,,,,
19,ネイルホリック,,SP041,,速乾クリア,2,47553,DLMI041,,●,¥300,2017/08,4971710475531,https://maison.kose.co.jp/site/nailholic/g/gDLMI011/,,,,,,,,,,,,,,,,,,,,
20,ネイルホリック,,SP042,,ラメ,3,47554,DLMI042,,●,¥300,2017/08,4971710475548,https://maison.kose.co.jp/site/nailholic/g/gDLMI011/,,,,,,,,,,,,,,,,,,,,
21,ネイルホリック,,SP043,,スモーキー,2,47555,DLMI043,,●,¥300,2017/08,4971710475555,https://maison.kose.co.jp/site/nailholic/g/gDLMI011/,,,,,,,,,,,,,,,,,,,,
22,ネイルホリック,Relaxing,WT044,,,2,47552,DLMI044,,●,¥300,2017/08,4971710475524,https://maison.kose.co.jp/site/nailholic/g/gDLMI317/,,,,,,,,,,,,,,,,,,,,
23,ネイルホリック,Vivid,PU103,,,2,44504,DLMI103,psd,●,¥300,2015/02,4971710445046,https://maison.kose.co.jp/site/nailholic/g/gDLMI903/,,,,,,,,,,,,,,,,,,,,
