No,商品名,サブ,色番,爪サンプル,質感,塗った回数,商品符号,税抜価格,発売年月,販売終了日,限定フラグ,情報公開日,色カテゴリID,シリーズID,タブ用シリーズ名,シリーズ名
1,ネイルホリック アート,,WT080,,,,DLMA080,¥360,2015/02/01,2099/12/31,0,2015/02/01,,3560,Art liner,Art liner
2,ネイルホリック アート,,BK081,,,,DLMA081,¥360,2015/02/01,2099/12/31,0,2015/02/01,,3560,Art liner,Art liner
3,ネイルホリック アート,,SV082,,,,DLMA082,¥360,2015/02/01,2099/12/31,0,2015/02/01,,3560,Art liner,Art liner
4,ネイルホリック アート,,GD083,,,,DLMA083,¥360,2015/02/01,2099/12/31,0,2015/02/01,,3560,Art liner,Art liner
5,ネイルホリック,,WT005,,,,DLMI005,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2150,Classic,Classic color
6,ネイルホリック,,WT006,,,,DLMI006,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2170,Nude,Nude color
7,ネイルホリック,,GY007,,,,DLMI007,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2150,Classic,Classic color
8,ネイルホリック,,GY008,,,,DLMI008,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2160,Mode,Mode color
9,ネイルホリック,,GY009,,,,DLMI009,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2160,Mode,Mode color
10,ネイルホリック,,BK010,,,,DLMI010,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2160,Mode,Mode color
11,ネイルホリック,マット,SP011,,,,DLMI011,¥300,2015/02/01,2099/12/31,0,2015/02/01,,9000,Top coat,Top coat
12,ネイルホリック,ぷっくりクリア,SP012,,,,DLMI012,¥300,2015/02/01,2099/12/31,0,2015/02/01,,9000,Top coat,Top coat
13,ネイルホリック,,WT013,,,,DLMI013,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2050,Chic,Chic color
14,ネイルホリック,,GY014,,,,DLMI014,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2050,Chic,Chic color
15,ネイルホリック,,WT015,,,,DLMI015,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2050,Chic,Chic color
16,ネイルホリック,,GY016,,,,DLMI016,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2060,Dusty pastel,Dusty pastel color
17,ネイルホリック,,GY017,,,,DLMI017,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2060,Dusty pastel,Dusty pastel color
18,ネイルホリック,,GY018,,,,DLMI018,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2060,Dusty pastel,Dusty pastel color
19,ネイルホリック,,GY019,,,,DLMI019,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2060,Dusty pastel,Dusty pastel color
20,ネイルホリック,,GD028,,,,DLMI028,¥300,2018/02/01,2099/12/31,0,2018/02/01,,2040,Galactic,Galactic color
21,ネイルホリック,,SV029,,,,DLMI029,¥300,2018/02/01,2099/12/31,0,2018/02/01,,2040,Galactic,Galactic color
22,ネイルホリック,,GY040,,,,DLMI040,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2080,Relaxing,Relaxing color
23,ネイルホリック,速乾クリア,SP041,,,,DLMI041,¥300,2017/08/01,2099/12/31,0,2017/08/01,,9000,Top coat,Top coat
24,ネイルホリック,ラメ,SP042,,,,DLMI042,¥300,2017/08/01,2099/12/31,0,2017/08/01,,9000,Top coat,Top coat
25,ネイルホリック,スモーキー,SP043,,,,DLMI043,¥300,2017/08/01,2099/12/31,0,2017/08/01,,9000,Top coat,Top coat
26,ネイルホリック,,WT044,,,,DLMI044,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2080,Relaxing,Relaxing color
27,ネイルホリック,,PU103,,,,DLMI103,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2140,Vivid,Vivid color
28,ネイルホリック,,PU104,,,,DLMI104,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2160,Mode,Mode color
29,ネイルホリック,,PU105,,,,DLMI105,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2160,Mode,Mode color
30,ネイルホリック,,PU106,,,,DLMI106,¥300,2015/02/01,2099/12/31,0,2015/02/01,,2160,Mode,Mode color
31,ネイルホリック,,PU107,,,,DLMI107,¥300,2016/08/01,2099/12/31,0,2016/08/01,,2120,Juicy,Juicy color
32,ネイルホリック,,PU108,,,,DLMI108,¥300,2016/08/01,2099/12/31,0,2016/08/01,,2120,Juicy,Juicy color
33,ネイルホリック,,PU109,,,,DLMI109,¥300,2017/02/01,2099/12/31,0,2017/02/01,,2110,Sheer pearl,Sheer pearl color
34,ネイルホリック,,PU110,,,,DLMI110,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2070,Ethnic,Ethnic color
35,ネイルホリック,,PU111,,,,DLMI111,¥300,2017/08/01,2099/12/31,0,2017/08/01,,2050,Chic,Chic color
